"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-01-02 9:35:44.44","2","2462","검역","隔離區","Lazaretto","14","1681","779","0","14","-","6790","2021년 01월 02일 00시","NULL","10","1","19"
"","","2021-01-02 9:35:44.44","0","434","제주","济州","Jeju","13","246","188","12","1","64.70","6789","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","5","1397","경남","庆南","Gyeongsangnam-do","37","1060","332","35","2","41.56","6788","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","62","2468","경북","庆北","Gyeongsangbuk-do","20","1926","480","18","2","92.69","6787","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","5","577","전남","全南","Jeollanam-do","11","477","95","9","2","31.05","6786","2021년 01월 02일 00시","2021-01-03 10:41:25.25","","",""
"","","2021-01-02 9:35:44.44","11","856","전북","全北","Jeollabuk-do","11","648","197","11","0","47.10","6785","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","24","1675","충남","忠南","Chungcheongnam-do","7","1186","465","6","1","78.92","6784","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","28","1221","충북","忠北","Chungcheongbuk-do","36","638","555","34","2","76.34","6783","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","13","1268","강원","江原","Gangwon-do","31","917","338","31","0","82.31","6782","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","281","14962","경기","京畿","Gyeonggi-do","227","10893","3788","221","6","112.93","6781","2021년 01월 02일 00시","2021-01-03 10:41:10.10","","",""
"","","2021-01-02 9:35:44.44","1","153","세종","世宗","Sejong","3","129","23","3","0","44.69","6780","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","27","733","울산","蔚山","Ulsan","17","473","233","17","0","63.90","6779","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","7","860","대전","大田","Daejeon","4","697","156","4","0","58.34","6778","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","6","1111","광주","光州","Gwangju","13","871","234","13","0","76.27","6777","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","29","2975","인천","仁川","Incheon","71","2174","772","70","1","100.64","6776","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","202","7873","대구","大邱","Daegu","29","7311","360","29","0","323.13","6775","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","53","1951","부산","釜山","Busan","26","1399","499","26","0","57.18","6774","2021년 01월 02일 00시","NULL","","",""
"","","2021-01-02 9:35:44.44","186","19613","서울","首尔","Seoul","250","10852","8575","245","5","201.51","6773","2021년 01월 02일 00시","2021-01-03 10:40:58.58","","",""
"","","2021-01-02 9:35:44.44","942","62593","합계","合计","Total","824","43578","18073","788","36","120.73","6772","2021년 01월 02일 00시","NULL","","",""
