"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-08-07 11:07:31.31","0","1260","검역","隔離區","Lazaretto","5","1021","239","0","5","-","3579","2020년 08월 07일 00시","NULL","10","1","19"
"","","2020-08-07 11:07:31.31","0","26","제주","济州","Jeju","0","21","5","0","0","3.88","3578","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","0","166","경남","庆南","Gyeongsangnam-do","0","156","10","0","0","4.94","3577","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","54","1410","경북","庆北","Gyeongsangbuk-do","1","1342","14","0","1","52.96","3576","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","0","41","전남","全南","Jeollanam-do","0","25","16","0","0","2.2","3575","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","0","39","전북","全北","Jeollabuk-do","0","37","2","0","0","2.15","3574","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","1","192","충남","忠南","Chungcheongnam-do","0","187","4","0","0","9.05","3573","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","0","81","충북","忠北","Chungcheongbuk-do","0","71","10","0","0","5.06","3572","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","3","77","강원","江原","Gangwon-do","0","68","6","0","0","5","3571","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","31","1593","경기","京畿","Gyeonggi-do","5","1409","153","3","2","12.02","3570","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","0","50","세종","世宗","Sejong","0","50","0","0","0","14.61","3569","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","1","59","울산","蔚山","Ulsan","0","56","2","0","0","5.14","3568","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","2","166","대전","大田","Daejeon","0","161","3","0","0","11.26","3567","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","2","208","광주","光州","Gwangju","0","168","38","0","0","14.28","3566","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","2","386","인천","仁川","Incheon","0","368","16","0","0","13.06","3565","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","191","6943","대구","大邱","Daegu","0","6747","5","0","0","284.96","3564","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","3","177","부산","釜山","Busan","0","154","20","0","0","5.19","3563","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","13","1645","서울","首尔","Seoul","9","1502","130","6","3","16.9","3562","2020년 08월 07일 00시","NULL","","",""
"","","2020-08-07 11:07:31.31","303","14519","합계","合计","Total","20","13543","673","9","11","28.00","3561","2020년 08월 07일 00시","NULL","","",""
