"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-05 15:29:39.39","0","4","제주","","","1","0.6","55","2020년 3월 5일 00시","","10","1","18"
"","","2020-03-05 15:29:39.39","0","74","경남","","","9","2.2","54","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","6","861","경북","","","87","32.3","53","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","4","전남","","","-1","0.2","52","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","7","전북","","","0","0.4","51","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","86","충남","","","4","4.1","50","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","12","충북","","","1","0.8","49","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","23","강원","","","2","1.5","48","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","1","110","경기","","","9","0.8","47","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","1","세종","","","0","0.3","46","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","23","울산","","","0","2.0","45","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","16","대전","","","1","1.1","44","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","14","광주","","","1","1.0","43","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","9","인천","","","0","0.3","42","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","27","4327","대구","","","321","177.6","41","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","1","92","부산","","","-1","2.7","40","2020년 3월 5일 00시","","","",""
"","","2020-03-05 15:29:39.39","0","103","서울","","","4","1.1","39","2020년 3월 5일 00시","2020-03-05 21:05:30.30","","",""
"","","2020-03-05 15:29:39.39","35","5766","합계","","","438","11.1","38","2020년 3월 5일 00시","","","",""
