"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolingCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-07-14 09:00:00.000","5","4593","검역","隔離區","Lazaretto","19","4188","400","0","19","0.00","10280","2021년 07월 14일 00시","2021-09-16 10:11:33.897","10","1","19"
"","","2021-07-14 09:00:00.000","1","1433","제주","济州","Jeju","21","1273","159","21","0","212.41","10281","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","22","5661","경남","庆南","Gyeongsangnam-do","89","5249","390","87","2","169.48","10282","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","87","5085","경북","庆北","Gyeongsangbuk-do","22","4866","132","19","3","192.66","10283","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","17","1744","전남","全南","Jeollanam-do","6","1619","108","6","0","94.19","10284","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","60","2463","전북","全北","Jeollabuk-do","9","2317","86","9","0","136.52","10285","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","44","4218","충남","忠南","Chungcheongnam-do","36","3796","378","36","0","198.87","10286","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","71","3416","충북","忠北","Chungcheongbuk-do","10","3245","100","9","1","213.39","10287","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","53","3770","강원","江原","Gangwon-do","16","3543","174","15","1","244.35","10288","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","662","48635","경기","京畿","Gyeonggi-do","464","43696","4277","452","12","362.22","10289","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","1","617","세종","世宗","Sejong","6","571","45","6","0","173.40","10290","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","40","2959","울산","蔚山","Ulsan","11","2810","109","11","0","260.47","10291","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","28","3046","대전","大田","Daejeon","41","2664","354","41","0","208.08","10292","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","24","3062","광주","光州","Gwangju","15","2934","104","15","0","211.16","10293","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","61","7495","인천","仁川","Incheon","96","6776","658","93","3","254.69","10294","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","222","10850","대구","大邱","Daegu","52","10399","229","52","0","448.65","10295","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","126","6810","부산","釜山","Busan","63","6147","537","62","1","200.77","10296","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","524","56050","서울","首尔","Seoul","637","49390","6136","632","5","579.72","10297","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-14 09:00:00.000","2048","171907","합계","合计","Total","1613","155483","14376","1566","47","331.68","10298","2021년 07월 14일 00시","2021-09-16 10:11:33.897","","",""
