"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-04 19:44:27.27","0","3","제주","","","0","0.4","37","2020년 3월 4일 00시","","10","1","18"
"","","2020-03-04 19:44:27.27","0","65","경남","","","1","1.9","36","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","6","774","경북","","","89","29.1","35","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","5","전남","","","0","0.3","34","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","7","전북","","","0","0.4","33","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","82","충남","","","1","3.9","32","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","11","충북","","","0","0.7","31","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","21","강원","","","1","1.4","30","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","1","101","경기","","","7","0.8","29","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","1","세종","","","0","0.3","28","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","23","울산","","","3","2","27","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","15","대전","","","1","1","26","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","13","광주","","","2","0.9","25","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","9","인천","","","2","0.3","24","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","24","4006","대구","","","405","164.4","23","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","1","93","부산","","","3","2.7","22","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","0","99","서울","","","1","1","21","2020년 3월 4일 00시","","","",""
"","","2020-03-04 19:44:27.27","32","5328","합계","","","516","10.3","20","2020년 3월 4일 00시","","","",""
