"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolingCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-07-03 09:00:00.000","5","4303","검역","隔離區","Lazaretto","23","3998","300","0","23","0.00","10071","2021년 07월 03일 00시","2021-09-16 10:11:33.897","10","1","19"
"","","2021-07-03 09:00:00.000","1","1272","제주","济州","Jeju","4","1234","37","4","0","189.64","10072","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","21","5280","경남","庆南","Gyeongsangnam-do","10","5109","150","8","2","157.08","10073","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","86","4965","경북","庆北","Gyeongsangbuk-do","4","4775","104","3","1","186.48","10074","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","16","1664","전남","全南","Jeollanam-do","7","1552","96","6","1","89.24","10075","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","59","2382","전북","全北","Jeollabuk-do","4","2257","66","4","0","131.07","10076","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","43","3862","충남","忠南","Chungcheongnam-do","16","3667","152","16","0","181.96","10077","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","71","3323","충북","忠北","Chungcheongbuk-do","6","3175","77","5","1","207.77","10078","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","53","3594","강원","江原","Gangwon-do","11","3379","162","11","0","233.29","10079","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","654","44824","경기","京畿","Gyeonggi-do","252","41627","2543","247","5","338.28","10080","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","1","570","세종","世宗","Sejong","3","536","33","3","0","166.51","10081","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","40","2838","울산","蔚山","Ulsan","1","2707","91","0","1","247.42","10082","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","27","2720","대전","大田","Daejeon","28","2463","230","28","0","184.51","10083","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","24","2949","광주","光州","Gwangju","3","2868","57","3","0","202.45","10084","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","61","6841","인천","仁川","Incheon","16","6521","259","14","2","231.42","10085","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","222","10622","대구","大邱","Daegu","8","10317","83","8","0","435.96","10086","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","125","6307","부산","釜山","Busan","39","5894","288","35","4","184.86","10087","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","516","51024","서울","首尔","Seoul","359","47043","3465","353","6","524.21","10088","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-07-03 09:00:00.000","2025","159340","합계","合计","Total","794","149122","8193","748","46","307.32","10089","2021년 07월 03일 00시","2021-09-16 10:11:33.897","","",""
