header__resultCode,header__resultMsg,body__items__item__createDt,body__items__item__deathCnt,body__items__item__defCnt,body__items__item__gubun,body__items__item__gubunCn,body__items__item__gubunEn,body__items__item__incDec,body__items__item__isolClearCnt,body__items__item__isolIngCnt,body__items__item__localOccCnt,body__items__item__overFlowCnt,body__items__item__qurRate,body__items__item__seq,body__items__item__stdDay,body__items__item__updateDt,body__numOfRows,body__pageNo,body__totalCount
0,NORMAL SERVICE.,00:00.0,13,5611,검역,隔離區,Lazaretto,31,5036,562,0,31,0,10907,2021년 08월 16일 00시,11:33.9,10,1,19
,,00:00.0,1,2142,제주,济州,Jeju,65,1837,304,64,1,317.51,10908,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,25,8842,경남,庆南,Gyeongsangnam-do,86,7531,1286,84,2,264.71,10909,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,88,6315,경북,庆北,Gyeongsangbuk-do,75,5537,690,75,0,239.26,10910,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,19,2329,전남,全南,Jeollanam-do,27,2051,259,25,2,125.79,10911,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,60,3117,전북,全北,Jeollabuk-do,14,2789,268,11,3,172.77,10912,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,46,5946,충남,忠南,Chungcheongnam-do,43,4955,945,40,3,280.34,10913,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,71,4555,충북,忠北,Chungcheongbuk-do,37,3924,560,37,0,284.54,10914,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,57,4975,강원,江原,Gangwon-do,41,4529,389,40,1,322.46,10915,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,709,63382,경기,京畿,Gyeonggi-do,396,54934,7739,392,4,472.05,10916,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,1,872,세종,世宗,Sejong,3,788,83,3,0,245.06,10917,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,41,3681,울산,蔚山,Ulsan,31,3249,391,29,2,324.03,10918,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,33,5031,대전,大田,Daejeon,31,3987,1011,31,0,343.68,10919,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,24,3709,광주,光州,Gwangju,29,3447,238,27,2,255.78,10920,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,71,10442,인천,仁川,Incheon,110,9217,1154,110,0,354.83,10921,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,223,12678,대구,大邱,Daegu,45,11734,721,44,1,524.24,10922,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,128,10130,부산,釜山,Busan,127,8401,1601,125,2,298.65,10923,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,557,71716,서울,首尔,Seoul,364,62241,8918,355,9,741.75,10924,2021년 08월 16일 00시,11:33.9,,,
,,00:00.0,2167,225473,합계,合计,Total,1555,196187,27119,1492,63,435.03,10925,2021년 08월 16일 00시,11:33.9,,,
