"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-08 14:56:02.02","0","4","제주","","","0","0.6","109","2020년 3월 8일 00시","","10","1","18"
"","","2020-03-08 14:56:02.02","0","83","경남","","","1","2.5","108","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","12","1081","경북","","","32","40.6","107","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","4","전남","","","0","0.2","106","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","7","전북","","","0","0.4","105","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","98","충남","","","6","4.6","104","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","24","충북","","","4","1.5","103","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","1","27","강원","","","1","1.8","102","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","1","141","경기","","","11","1.1","101","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","3","세종","","","1","0.9","100","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","24","울산","","","1","2.1","99","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","18","대전","","","0","1.2","98","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","13","광주","","","0","0.9","97","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","9","인천","","","0","0.3","96","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","35","5381","대구","","","297","220.9","95","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","1","97","부산","","","1","2.8","94","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","0","120","서울","","","12","1.2","93","2020년 3월 8일 00시","","","",""
"","","2020-03-08 14:56:02.02","50","7134","합계","","","367","13.8","92","2020년 3월 8일 00시","","","",""
