"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-10-13 9:39:01.01","0","1607","검역","隔離區","Lazaretto","21","1420","187","0","21","-","5004","2020년 10월 13일 00시","NULL","10","1","19"
"","","2020-10-13 9:39:01.01","0","59","제주","济州","Jeju","0","59","0","0","0","8.80","5003","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","0","297","경남","庆南","Gyeongsangnam-do","0","286","11","0","0","8.84","5002","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","56","1570","경북","庆北","Gyeongsangbuk-do","1","1481","33","0","1","58.97","5001","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","2","176","전남","全南","Jeollanam-do","0","166","8","0","0","9.44","5000","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","0","152","전북","全北","Jeollabuk-do","1","119","33","1","0","8.36","4999","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","6","499","충남","忠南","Chungcheongnam-do","2","455","38","2","0","23.51","4998","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","1","179","충북","忠北","Chungcheongbuk-do","1","156","22","1","0","11.19","4997","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","3","231","강원","江原","Gangwon-do","4","219","9","4","0","14.99","4996","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","83","4713","경기","京畿","Gyeonggi-do","38","4248","382","32","6","35.57","4995","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","0","78","세종","世宗","Sejong","0","74","4","0","0","22.79","4994","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","2","155","울산","蔚山","Ulsan","0","144","9","0","0","13.51","4993","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","5","408","대전","大田","Daejeon","10","352","51","9","1","27.68","4992","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","3","499","광주","光州","Gwangju","2","493","3","1","1","34.26","4991","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","8","968","인천","仁川","Incheon","0","887","73","0","0","32.75","4990","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","196","7141","대구","大邱","Daegu","1","6933","12","0","1","293.09","4989","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","4","489","부산","釜山","Busan","1","406","79","1","0","14.33","4988","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","65","5584","서울","首尔","Seoul","20","4965","554","18","2","57.37","4987","2020년 10월 13일 00시","NULL","","",""
"","","2020-10-13 9:39:01.01","434","24805","합계","合计","Total","102","22863","1508","69","33","47.84","4986","2020년 10월 13일 00시","NULL","","",""
