"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-09-28 10:25:30.30","0","1497","검역","隔離區","Lazaretto","7","1378","119","0","7","-","4662","2020년 09월 28일 00시","NULL","10","1","19"
"","","2020-09-28 10:25:30.30","0","59","제주","济州","Jeju","0","52","7","0","0","8.80","4661","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","0","291","경남","庆南","Gyeongsangnam-do","1","266","25","0","1","8.66","4660","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","55","1543","경북","庆北","Gyeongsangbuk-do","4","1427","61","3","1","57.95","4659","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","1","169","전남","全南","Jeollanam-do","0","148","20","0","0","9.06","4658","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","0","125","전북","全北","Jeollabuk-do","0","95","30","0","0","6.88","4657","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","5","477","충남","忠南","Chungcheongnam-do","0","400","72","0","0","22.47","4656","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","1","170","충북","忠北","Chungcheongbuk-do","1","142","27","1","0","10.63","4655","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","3","224","강원","江原","Gangwon-do","1","209","12","1","0","14.54","4654","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","72","4348","경기","京畿","Gyeonggi-do","14","3798","478","13","1","32.81","4653","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","0","76","세종","世宗","Sejong","0","67","9","0","0","22.20","4652","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","2","146","울산","蔚山","Ulsan","1","134","10","1","0","12.73","4651","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","4","358","대전","大田","Daejeon","0","316","38","0","0","24.29","4650","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","3","492","광주","光州","Gwangju","0","473","16","0","0","33.78","4649","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","8","912","인천","仁川","Incheon","1","798","106","1","0","30.85","4648","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","194","7130","대구","大邱","Daegu","0","6912","24","0","0","292.63","4647","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","4","413","부산","釜山","Busan","1","347","62","1","0","12.10","4646","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","54","5231","서울","首尔","Seoul","19","4330","847","19","0","53.74","4645","2020년 09월 28일 00시","NULL","","",""
"","","2020-09-28 10:25:30.30","406","23661","합계","合计","Total","50","21292","1963","40","10","45.64","4644","2020년 09월 28일 00시","NULL","","",""
