header__resultCode,header__resultMsg,body__items__item__createDt,body__items__item__deathCnt,body__items__item__defCnt,body__items__item__gubun,body__items__item__gubunCn,body__items__item__gubunEn,body__items__item__incDec,body__items__item__isolClearCnt,body__items__item__isolIngCnt,body__items__item__localOccCnt,body__items__item__overFlowCnt,body__items__item__qurRate,body__items__item__seq,body__items__item__stdDay,body__items__item__updateDt,body__numOfRows,body__pageNo,body__totalCount
0,NORMAL SERVICE.,00:00.0,5,4094,검역,隔離區,Lazaretto,19,3901,188,0,19,0,9900,2021년 06월 24일 00시,11:33.9,10,1,19
,,00:00.0,1,1238,제주,济州,Jeju,4,1179,58,3,1,184.57,9901,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,20,5162,경남,庆南,Gyeongsangnam-do,23,5010,132,22,1,153.57,9902,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,86,4918,경북,庆北,Gyeongsangbuk-do,29,4700,132,28,1,184.71,9903,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,15,1608,전남,全南,Jeollanam-do,6,1512,81,3,3,86.23,9904,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,58,2332,전북,全北,Jeollabuk-do,6,2230,44,6,0,128.32,9905,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,41,3742,충남,忠南,Chungcheongnam-do,7,3591,110,7,0,176.31,9906,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,70,3267,충북,忠北,Chungcheongbuk-do,6,3056,141,5,1,204.27,9907,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,52,3452,강원,江原,Gangwon-do,5,3295,105,5,0,224.08,9908,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,651,42883,경기,京畿,Gyeonggi-do,185,40333,1899,184,1,323.64,9909,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,1,542,세종,世宗,Sejong,1,504,37,1,0,158.33,9910,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,40,2755,울산,蔚山,Ulsan,13,2643,72,11,2,240.18,9911,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,27,2556,대전,大田,Daejeon,15,2285,244,15,0,173.39,9912,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,24,2897,광주,光州,Gwangju,1,2839,34,1,0,198.88,9913,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,61,6623,인천,仁川,Incheon,15,6355,207,15,0,224.04,9914,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,222,10548,대구,大邱,Daegu,3,10196,130,3,0,432.92,9915,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,124,6090,부산,釜山,Busan,20,5762,204,16,4,178.5,9916,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,510,48447,서울,首尔,Seoul,252,45384,2553,251,1,497.73,9917,2021년 06월 24일 00시,11:33.9,,,
,,00:00.0,2008,153154,합계,合计,Total,610,144775,6371,576,34,295.39,9918,2021년 06월 24일 00시,11:33.9,,,
