"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-07 15:29:59.59","0","4","제주","","","0","0.1","91","2020년 3월 7일 00시","","10","1","18"
"","","2020-03-07 15:29:59.59","0","82","경남","","","5","1.2","90","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","10","1049","경북","","","65","15.5","89","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","4","전남","","","0","0.1","88","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","7","전북","","","0","0.1","87","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","92","충남","","","2","1.4","86","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","20","충북","","","5","0.3","85","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","1","26","강원","","","1","0.4","84","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","1","130","경기","","","10","1.9","83","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","2","세종","","","1","0.6","82","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","23","울산","","","0","2","81","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","18","대전","","","0","1.2","80","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","13","광주","","","0","0.9","79","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","9","인천","","","0","0.3","78","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","31","5084","대구","","","390","208.7","77","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","1","96","부산","","","1","2.8","76","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","0","108","서울","","","3","1.1","75","2020년 3월 7일 00시","","","",""
"","","2020-03-07 15:29:59.59","44","6767","합계","","","483","12.1","74","2020년 3월 7일 00시","","","",""
