"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-10-25 9:36:09.09","0","1704","검역","隔離區","Lazaretto","9","1448","256","0","9","-","5251","2020년 10월 25일 00시","NULL","10","1","19"
"","","2020-10-25 9:36:09.09","0","59","제주","济州","Jeju","0","59","0","0","0","8.80","5250","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","0","303","경남","庆南","Gyeongsangnam-do","2","294","9","1","1","9.01","5249","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","57","1578","경북","庆北","Gyeongsangbuk-do","0","1510","11","0","0","59.27","5248","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","2","181","전남","全南","Jeollanam-do","0","169","10","0","0","9.71","5247","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","0","160","전북","全北","Jeollabuk-do","0","139","21","0","0","8.80","5246","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","8","529","충남","忠南","Chungcheongnam-do","2","483","38","2","0","24.92","5245","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","2","184","충북","忠北","Chungcheongbuk-do","0","168","14","0","0","11.50","5244","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","3","246","강원","江原","Gangwon-do","0","224","19","0","0","15.97","5243","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","89","5153","경기","京畿","Gyeonggi-do","27","4550","514","27","0","38.89","5242","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","0","78","세종","世宗","Sejong","0","78","0","0","0","22.79","5241","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","2","158","울산","蔚山","Ulsan","1","152","4","1","0","13.77","5240","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","5","429","대전","大田","Daejeon","1","383","41","1","0","29.10","5239","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","3","509","광주","光州","Gwangju","0","495","11","0","0","34.94","5238","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","9","1019","인천","仁川","Incheon","0","950","60","0","0","34.47","5237","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","196","7150","대구","大邱","Daegu","1","6942","12","0","1","293.46","5236","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","7","589","부산","釜山","Busan","1","475","107","1","0","17.26","5235","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","74","5807","서울","首尔","Seoul","17","5350","383","17","0","59.66","5234","2020년 10월 25일 00시","NULL","","",""
"","","2020-10-25 9:36:09.09","457","25836","합계","合计","Total","61","23869","1510","50","11","49.83","5233","2020년 10월 25일 00시","NULL","","",""
