"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-22 10:33:31.31","0","34","검역","隔離區","Lazaretto","11","0","-","368","2020년 3월 22일 00시","","10","1","19"
"","","2020-03-22 10:33:31.31","0","4","제주","济州","Jeju","0","3","0.6","367","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","88","경남","庆南","Gyeongsangnam-do","1","42","2.62","366","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","24","1254","경북","庆北","Gyeongsangbuk-do","11","432","47.1","365","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","6","전남","全南","Jeollanam-do","1","3","0.32","364","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","10","전북","全北","Jeollabuk-do","0","7","0.55","363","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","120","충남","忠南","Chungcheongnam-do","1","39","5.65","362","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","35","충북","忠北","Chungcheongbuk-do","1","9","2.19","361","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","1","30","강원","江原","Gangwon-do","0","13","1.95","360","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","3","337","경기","京畿","Gyeonggi-do","16","82","2.54","359","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","41","세종","世宗","Sejong","0","3","11.98","358","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","36","울산","蔚山","Ulsan","0","12","3.14","357","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","24","대전","大田","Daejeon","2","6","1.63","356","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","19","광주","光州","Gwangju","1","10","1.3","355","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","40","인천","仁川","Incheon","0","8","1.35","354","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","75","6387","대구","大邱","Daegu","43","2107","262.14","353","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","1","108","부산","釜山","Busan","0","69","3.17","352","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","0","324","서울","首尔","Seoul","10","64","3.33","351","2020년 3월 22일 00시","","","",""
"","","2020-03-22 10:33:31.31","104","8897","합계","合计","Total","98","2909","17.16","350","2020년 3월 22일 00시","","","",""
