header__resultCode,header__resultMsg,body__items__item__createDt,body__items__item__deathCnt,body__items__item__defCnt,body__items__item__gubun,body__items__item__gubunCn,body__items__item__gubunEn,body__items__item__incDec,body__items__item__isolClearCnt,body__items__item__isolIngCnt,body__items__item__localOccCnt,body__items__item__overFlowCnt,body__items__item__qurRate,body__items__item__seq,body__items__item__stdDay,body__items__item__updateDt,body__numOfRows,body__pageNo,body__totalCount
0,NORMAL SERVICE.,00:00.0,13,5726,검역,隔離區,Lazaretto,12,5192,521,0,12,0,11059,2021년 08월 24일 00시,11:33.9,10,1,19
,,00:00.0,2,2467,제주,济州,Jeju,30,2018,447,30,0,365.68,11060,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,30,9511,경남,庆南,Gyeongsangnam-do,69,8437,1044,68,1,284.74,11061,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,88,6731,경북,庆北,Gyeongsangbuk-do,31,5962,681,28,3,255.02,11062,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,19,2471,전남,全南,Jeollanam-do,9,2213,239,7,2,133.46,11063,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,60,3356,전북,全北,Jeollabuk-do,34,3000,296,33,1,186.02,11064,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,51,6471,충남,忠南,Chungcheongnam-do,60,5392,1028,60,0,305.09,11065,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,72,4894,충북,忠北,Chungcheongbuk-do,30,4315,507,30,0,305.72,11066,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,59,5196,강원,江原,Gangwon-do,17,4779,358,16,1,336.78,11067,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,726,67569,경기,京畿,Gyeonggi-do,474,58282,8561,469,5,503.23,11068,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,1,928,세종,世宗,Sejong,7,852,75,7,0,260.8,11069,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,41,3959,울산,蔚山,Ulsan,26,3528,390,26,0,348.5,11070,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,34,5349,대전,大田,Daejeon,63,4374,941,63,0,365.4,11071,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,25,3896,광주,光州,Gwangju,12,3612,259,12,0,268.68,11072,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,73,11184,인천,仁川,Incheon,63,9825,1286,62,1,380.04,11073,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,224,13091,대구,大邱,Daegu,73,12270,597,72,1,541.32,11074,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,136,10913,부산,釜山,Busan,61,9388,1389,58,3,321.73,11075,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,574,75565,서울,首尔,Seoul,436,65742,9249,428,8,781.56,11076,2021년 08월 24일 00시,11:33.9,,,
,,00:00.0,2228,239277,합계,合计,Total,1507,209181,27868,1469,38,461.67,11077,2021년 08월 24일 00시,11:33.9,,,
