header__resultCode,header__resultMsg,body__items__item__createDt,body__items__item__deathCnt,body__items__item__defCnt,body__items__item__gubun,body__items__item__gubunCn,body__items__item__gubunEn,body__items__item__incDec,body__items__item__isolClearCnt,body__items__item__isolIngCnt,body__items__item__localOccCnt,body__items__item__overFlowCnt,body__items__item__qurRate,body__items__item__seq,body__items__item__stdDay,body__items__item__updateDt,body__numOfRows,body__pageNo,body__totalCount
0,NORMAL SERVICE.,00:00.0,12,5532,검역,隔離區,Lazaretto,19,5026,494,0,19,0,10850,2021년 08월 13일 00시,11:33.9,10,1,19
,,00:00.0,1,1984,제주,济州,Jeju,44,1777,206,44,0,294.08,10851,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,23,8560,경남,庆南,Gyeongsangnam-do,125,7237,1300,122,3,256.27,10852,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,88,6110,경북,庆北,Gyeongsangbuk-do,82,5410,612,77,5,231.49,10853,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,18,2256,전남,全南,Jeollanam-do,18,2021,217,18,0,121.84,10854,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,60,3070,전북,全北,Jeollabuk-do,27,2714,296,25,2,170.17,10855,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,46,5777,충남,忠南,Chungcheongnam-do,72,4851,880,68,4,272.37,10856,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,71,4429,충북,忠北,Chungcheongbuk-do,52,3824,534,50,2,276.67,10857,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,57,4864,강원,江原,Gangwon-do,33,4441,366,33,0,315.26,10858,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,700,61903,경기,京畿,Gyeonggi-do,540,53905,7298,527,13,461.03,10859,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,1,854,세종,世宗,Sejong,7,750,103,7,0,240,10860,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,41,3595,울산,蔚山,Ulsan,39,3205,349,39,0,316.46,10861,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,32,4914,대전,大田,Daejeon,58,3763,1119,58,0,335.68,10862,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,24,3634,광주,光州,Gwangju,15,3420,190,14,1,250.61,10863,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,70,10153,인천,仁川,Incheon,97,9034,1049,94,3,345.01,10864,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,223,12494,대구,大邱,Daegu,57,11485,786,55,2,516.63,10865,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,128,9694,부산,釜山,Busan,180,8138,1428,178,2,285.79,10866,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,549,70351,서울,首尔,Seoul,524,61235,8567,504,20,727.63,10867,2021년 08월 13일 00시,11:33.9,,,
,,00:00.0,2144,220174,합계,合计,Total,1989,192236,25794,1913,76,424.81,10868,2021년 08월 13일 00시,11:33.9,,,
