"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-03-01 9:57:20.20","4","2975","검역","隔離區","Lazaretto","5","2315","656","0","5","-","7949","2021년 03월 01일 00시","NULL","10","1","19"
"","","2021-03-01 9:57:20.20","1","570","제주","济州","Jeju","0","543","26","0","0","8.95","7948","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","11","2188","경남","庆南","Gyeongsangnam-do","5","2111","66","4","1","10.20","7947","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","71","3266","경북","庆北","Gyeongsangbuk-do","13","3050","145","10","3","59.76","7946","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","8","861","전남","全南","Jeollanam-do","2","771","82","2","0","10.19","7945","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","55","1201","전북","全北","Jeollabuk-do","10","1040","106","10","0","9.19","7944","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","35","2448","충남","忠南","Chungcheongnam-do","4","2177","236","2","2","29.92","7943","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","58","1764","충북","忠北","Chungcheongbuk-do","8","1582","124","8","0","12.19","7942","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","41","1869","강원","江原","Gangwon-do","5","1719","109","5","0","19.21","7941","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 09:57:20.487","493","23714","경기","京畿","Gyeonggi-do","159","21075","2146","156","4","42.62","7940","2021년 03월 01일 00시","2021-03-05 17:00:44.348","","",""
"","","2021-03-01 9:57:20.20","1","227","세종","世宗","Sejong","1","210","16","1","0","23.95","7939","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","37","1015","울산","蔚山","Ulsan","2","948","30","2","0","14.38","7938","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","15","1190","대전","大田","Daejeon","0","1143","32","0","0","30.12","7937","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","21","2092","광주","光州","Gwangju","8","1949","122","6","2","35.42","7936","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","52","4445","인천","仁川","Incheon","14","4145","248","14","0","35.93","7935","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","213","8633","대구","大邱","Daegu","10","8304","116","10","0","294.85","7934","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 9:57:20.20","108","3239","부산","釜山","Busan","16","2901","230","16","0","17.59","7933","2021년 03월 01일 00시","NULL","","",""
"","","2021-03-01 09:57:20.485","381","28331","서울","首尔","Seoul","92","25087","2863","92","0","64.44","7932","2021년 03월 01일 00시","2021-03-06 10:02:59.592","","",""
"","","2021-03-01 09:57:20.485","1605","90028","합계","合计","Total","355","81070","7353","338","17","52.62","7931","2021년 03월 01일 00시","2021-03-06 10:01:34.921","","",""
