"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-04-04 10:35:57.57","0","279","검역","隔離區","Lazaretto","15","1","-","820","2020년 04월 04일 00시","","10","1","19"
"","","2020-04-04 10:35:57.57","0","9","제주","济州","Jeju","0","4","1.34","819","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","108","경남","庆南","Gyeongsangnam-do","1","75","3.21","818","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","44","1310","경북","庆北","Gyeongsangbuk-do","1","881","49.20","817","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","15","전남","全南","Jeollanam-do","0","4","0.80","816","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","15","전북","全北","Jeollabuk-do","0","7","0.83","815","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","135","충남","忠南","Chungcheongnam-do","1","102","6.36","814","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","45","충북","忠北","Chungcheongbuk-do","0","27","2.81","813","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","1","42","강원","江原","Gangwon-do","1","23","2.73","812","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","6","562","경기","京畿","Gyeonggi-do","23","200","4.24","811","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","46","세종","世宗","Sejong","0","15","13.44","810","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","1","40","울산","蔚山","Ulsan","0","24","3.49","809","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","36","대전","大田","Daejeon","0","18","2.44","808","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","26","광주","光州","Gwangju","0","15","1.78","807","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","77","인천","仁川","Incheon","3","22","2.60","806","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","122","6761","대구","大邱","Daegu","27","4673","277.49","805","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","3","122","부산","釜山","Busan","0","90","3.58","804","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","0","528","서울","首尔","Seoul","22","144","5.42","803","2020년 04월 04일 00시","","","",""
"","","2020-04-04 10:35:57.57","177","10156","합계","合计","Total","94","6325","19.59","802","2020년 04월 04일 00시","","","",""
