"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-04-27 09:49:08.75","4","3445","검역","隔離區","Lazaretto","23","3208","233","0","23","-","9146","2021년 04월 27일 18시","null","10","1","19"
"","","2021-04-27 09:49:08.75","1","702","제주","济州","Jeju","5","670","31","5","0","104.66","9145","2021년 04월 27일 17시","null","","",""
"","","2021-04-27 09:49:08.75","17","3785","경남","庆南","Gyeongsangnam-do","28","3267","501","27","1","112.60","9144","2021년 04월 27일 16시","null","","",""
"","","2021-04-27 09:49:08.75","78","4028","경북","庆北","Gyeongsangbuk-do","22","3651","299","20","2","151.29","9143","2021년 04월 27일 15시","null","","",""
"","","2021-04-27 09:49:08.75","10","1041","전남","全南","Jeollanam-do","2","941","90","2","0","55.83","9142","2021년 04월 27일 14시","null","","",""
"","","2021-04-27 09:49:08.749","58","1893","전북","全北","Jeollabuk-do","5","1714","121","4","1","104.17","9141","2021년 04월 27일 13시","null","","",""
"","","2021-04-27 09:49:08.749","36","2967","충남","忠南","Chungcheongnam-do","14","2763","168","14","0","139.79","9140","2021년 04월 27일 12시","null","","",""
"","","2021-04-27 09:49:08.749","64","2584","충북","忠北","Chungcheongbuk-do","10","2327","193","9","1","161.56","9139","2021년 04월 27일 11시","null","","",""
"","","2021-04-27 09:49:08.749","50","2656","강원","江原","Gangwon-do","2","2427","179","2","0","172.41","9138","2021년 04월 27일 10시","null","","",""
"","","2021-04-27 09:49:08.749","578","33669","경기","京畿","Gyeonggi-do","195","30476","2615","191","4","254.10","9137","2021년 04월 27일 09시","null","","",""
"","","2021-04-27 09:49:08.749","1","354","세종","世宗","Sejong","2","338","15","2","0","103.41","9136","2021년 04월 27일 08시","null","","",""
"","","2021-04-27 09:49:08.749","38","1739","울산","蔚山","Ulsan","18","1352","349","18","0","151.61","9135","2021년 04월 27일 07시","null","","",""
"","","2021-04-27 09:49:08.748","17","1685","대전","大田","Daejeon","8","1557","111","8","0","114.30","9134","2021년 04월 27일 06시","null","","",""
"","","2021-04-27 09:49:08.748","22","2385","광주","光州","Gwangju","6","2246","117","6","0","163.73","9133","2021년 04월 27일 05시","null","","",""
"","","2021-04-27 09:49:08.748","59","5606","인천","仁川","Incheon","14","5379","168","14","0","189.64","9132","2021년 04월 27일 04시","null","","",""
"","","2021-04-27 09:49:08.748","220","9289","대구","大邱","Daegu","12","8895","174","9","3","381.25","9131","2021년 04월 27일 03시","null","","",""
"","","2021-04-27 09:49:08.748","122","4944","부산","釜山","Busan","30","4417","405","30","0","144.91","9130","2021년 04월 27일 02시","null","","",""
"","","2021-04-27 09:49:08.747","445","37126","서울","首尔","Seoul","116","34067","2614","116","0","381.42","9129","2021년 04월 27일 01시","null","","",""
"","","2021-04-27 09:49:08.747","1820","119898","합계","合计","Total","512","109695","8383","477","35","231.25","9128","2021년 04월 27일 00시","null","","",""
