"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-12-14 9:38:35.35","1","2290","검역","隔離區","Lazaretto","17","1654","635","0","17","-","6296","2020년 12월 14일 00시","NULL","10","1","19"
"","","2020-12-14 9:38:35.35","0","118","제주","济州","Jeju","8","75","43","8","0","17.59","6295","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","2","870","경남","庆南","Gyeongsangnam-do","28","617","251","26","2","25.88","6294","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","59","1850","경북","庆北","Gyeongsangbuk-do","16","1657","134","15","1","69.48","6293","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","4","480","전남","全南","Jeollanam-do","1","367","109","1","0","25.74","6292","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","2","506","전북","全北","Jeollabuk-do","8","337","167","8","0","27.84","6291","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","11","1119","충남","忠南","Chungcheongnam-do","55","835","273","51","4","52.72","6290","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","3","555","충북","忠北","Chungcheongbuk-do","21","302","250","21","0","34.70","6289","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","12","821","강원","江原","Gangwon-do","14","589","220","14","0","53.29","6288","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","135","9963","경기","京畿","Gyeonggi-do","226","7309","2519","220","6","75.19","6287","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","0","127","세종","世宗","Sejong","3","107","20","3","0","37.10","6286","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","4","434","울산","蔚山","Ulsan","5","214","216","4","1","37.84","6285","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","6","625","대전","大田","Daejeon","2","502","117","1","1","42.40","6284","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","3","822","광주","光州","Gwangju","22","689","130","22","0","56.43","6283","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","13","1877","인천","仁川","Incheon","36","1403","461","36","0","63.50","6282","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","200","7365","대구","大邱","Daegu","16","7042","123","16","0","302.28","6281","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","20","1256","부산","釜山","Busan","21","830","406","19","2","36.81","6280","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","112","12406","서울","首尔","Seoul","219","7573","4721","217","2","127.46","6279","2020년 12월 14일 00시","NULL","","",""
"","","2020-12-14 9:38:35.35","587","43484","합계","合计","Total","718","32102","10795","682","36","83.87","6278","2020년 12월 14일 00시","NULL","","",""
