"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-02-01 10:18:12.12","3","2732","검역","隔離區","Lazaretto","6","2221","508","0","6","-","7379","2021년 02월 01일 00시","NULL","10","1","19"
"","","2021-02-01 10:18:12.12","0","522","제주","济州","Jeju","0","504","18","0","0","77.82","7378","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","9","2015","경남","庆南","Gyeongsangnam-do","4","1777","229","4","0","59.95","7377","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","68","3022","경북","庆北","Gyeongsangbuk-do","5","2713","241","4","1","113.5","7376","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","7","750","전남","全南","Jeollanam-do","1","630","113","0","1","40.22","7375","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","47","1042","전북","全北","Jeollabuk-do","3","923","72","1","2","57.34","7374","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","33","2020","충남","忠南","Chungcheongnam-do","4","1839","148","3","1","95.17","7373","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","55","1580","충북","忠北","Chungcheongbuk-do","6","1338","187","5","1","98.79","7372","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","32","1703","강원","江原","Gangwon-do","8","1469","202","8","0","110.55","7371","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","426","19895","경기","京畿","Gyeonggi-do","92","17500","1969","89","3","150.15","7370","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","1","196","세종","世宗","Sejong","0","172","23","0","0","57.26","7369","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","36","938","울산","蔚山","Ulsan","1","867","35","0","1","81.78","7368","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","13","1098","대전","大田","Daejeon","1","938","147","0","1","74.48","7367","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","18","1815","광주","光州","Gwangju","32","1382","415","32","0","124.6","7366","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","50","3824","인천","仁川","Incheon","11","3434","340","11","0","129.36","7365","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","208","8317","대구","大邱","Daegu","9","7975","134","9","0","341.35","7364","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","94","2772","부산","釜山","Busan","15","2297","381","15","0","81.25","7363","2021년 02월 01일 00시","NULL","","",""
"","","2021-02-01 10:18:12.12","325","24266","서울","首尔","Seoul","107","20330","3611","104","3","249.31","7362","2021년 02월 01일 00시","2021-02-05 9:39:05.05","","",""
"","","2021-02-01 10:18:12.12","1425","78507","합계","合计","Total","305","68309","8773","285","20","151.42","7361","2021년 02월 01일 00시","2021-02-05 9:43:31.31","","",""
