"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-03-22 10:07:41.549","4","3108","검역","隔離區","Lazaretto","7","2647","457","0","7","-","8424","2021년 03월 22일 00시","null","10","1","19"
"","","2021-03-22 10:07:41.549","1","617","제주","济州","Jeju","1","593","23","1","0","91.99","8423","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.549","14","2747","경남","庆南","Gyeongsangnam-do","37","2232","501","37","0","81.72","8422","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.549","75","3417","경북","庆北","Gyeongsangbuk-do","11","3235","107","10","1","128.34","8421","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.548","8","907","전남","全南","Jeollanam-do","2","858","41","2","0","48.64","8420","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.548","56","1368","전북","全北","Jeollabuk-do","7","1182","130","7","0","75.28","8419","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.548","35","2592","충남","忠南","Chungcheongnam-do","11","2456","101","11","0","122.12","8418","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.548","60","2032","충북","忠北","Chungcheongbuk-do","5","1826","146","5","0","127.05","8417","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.548","43","2162","강원","江原","Gangwon-do","21","1870","249","21","0","140.34","8416","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.548","526","27304","경기","京畿","Gyeonggi-do","151","24427","2351","143","8","206.06","8415","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.547","1","250","세종","世宗","Sejong","0","241","8","0","0","73.03","8414","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.547","37","1118","울산","蔚山","Ulsan","1","1007","74","1","0","97.47","8413","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.547","15","1225","대전","大田","Daejeon","0","1182","28","0","0","83.10","8412","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.547","21","2186","광주","光州","Gwangju","2","2135","30","2","0","150.07","8411","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.547","56","4850","인천","仁川","Incheon","10","4569","225","10","0","164.07","8410","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.547","215","8806","대구","大邱","Daegu","14","8471","120","14","0","361.42","8409","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.546","115","3507","부산","釜山","Busan","26","3214","178","24","2","102.79","8408","2021년 03월 22일 00시","null","","",""
"","","2021-03-22 10:07:41.546","415","30873","서울","首尔","Seoul","103","28466","1992","102","1","317.24","8407","2021년 03월 22일 00시","2021-04-06 17:40:51.972","","",""
"","","2021-03-22 10:07:41.546","1697","99069","합계","合计","Total","409","90611","6761","390","19","191.09","8406","2021년 03월 22일 00시","2021-04-06 17:40:23.277","","",""
