"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-13 10:45:56.56","0","4","제주","","","0","1","0.60","199","2020년 3월 13일 00시","","10","1","18"
"","","2020-03-13 10:45:56.56","0","85","경남","","","0","11","2.53","198","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","16","1147","경북","","","4","103","43.08","197","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","4","전남","","","0","1","0.21","196","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","7","전북","","","0","4","0.39","195","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","115","충남","","","1","7","5.42","194","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","27","충북","","","0","4","1.69","193","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","1","29","강원","","","0","6","1.88","192","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","2","185","경기","","","7","31","1.40","191","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","32","세종","","","17","0","9.35","190","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","27","울산","","","2","3","2.35","189","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","22","대전","","","2","4","1.49","188","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","15","광주","","","0","4","1.03","187","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","27","인천","","","2","4","0.91","186","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","48","5928","대구","","","61","251","243.30","185","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","100","부산","","","1","36","2.93","184","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","0","225","서울","","","13","40","2.31","183","2020년 3월 13일 00시","","","",""
"","","2020-03-13 10:45:56.56","67","7979","합계","","","110","510","15.39","182","2020년 3월 13일 00시","","","",""
