"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-06-23 10:19:28.28","0","656","검역","隔離區","Lazaretto","26","488","168","0","26","-","2515","2020년 06월 23일 00시","NULL","10","1","19"
"","","2020-06-23 10:19:28.28","0","19","제주","济州","Jeju","0","15","4","0","0","2.83","2514","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","0","133","경남","庆南","Gyeongsangnam-do","0","124","9","0","0","3.96","2513","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","54","1385","경북","庆北","Gyeongsangbuk-do","0","1321","10","0","0","52.02","2512","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","0","20","전남","全南","Jeollanam-do","0","18","2","0","0","1.07","2511","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","0","24","전북","全北","Jeollabuk-do","0","20","4","0","0","1.32","2510","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","0","161","충남","忠南","Chungcheongnam-do","0","144","17","0","0","7.59","2509","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","0","62","충북","忠北","Chungcheongbuk-do","1","56","6","0","1","3.88","2508","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","3","62","강원","江原","Gangwon-do","0","52","7","0","0","4.02","2507","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","23","1130","경기","京畿","Gyeonggi-do","7","758","349","4","3","8.53","2506","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","0","49","세종","世宗","Sejong","0","47","2","0","0","14.31","2505","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","1","53","울산","蔚山","Ulsan","0","48","4","0","0","4.62","2504","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","1","86","대전","大田","Daejeon","4","44","41","4","0","5.83","2503","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","0","33","광주","光州","Gwangju","0","32","1","0","0","2.27","2502","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","1","330","인천","仁川","Incheon","1","170","159","1","0","11.16","2501","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","189","6901","대구","大邱","Daegu","1","6686","26","1","0","283.24","2500","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","3","150","부산","釜山","Busan","0","142","5","0","0","4.4","2499","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","6","1230","서울","首尔","Seoul","6","743","481","6","0","12.64","2498","2020년 06월 23일 00시","NULL","","",""
"","","2020-06-23 10:19:28.28","281","12484","합계","合计","Total","46","10908","1295","16","30","24.08","2497","2020년 06월 23일 00시","NULL","","",""
