"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-02-12 9:34:33.33","3","2858","검역","隔離區","Lazaretto","6","2224","631","0","6","-","7588","2021년 02월 12일 00시","NULL","10","1","19"
"","","2021-02-12 9:34:33.33","1","547","제주","济州","Jeju","4","521","25","4","0","81.55","7587","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","10","2093","경남","庆南","Gyeongsangnam-do","4","1975","108","4","0","62.27","7586","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","70","3083","경북","庆北","Gyeongsangbuk-do","4","2893","120","4","0","115.79","7585","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","7","772","전남","全南","Jeollanam-do","4","716","49","4","0","41.40","7584","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","53","1073","전북","全北","Jeollabuk-do","2","978","42","2","0","59.04","7583","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","33","2145","충남","忠南","Chungcheongnam-do","13","1957","155","10","3","101.06","7582","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","57","1632","충북","忠北","Chungcheongbuk-do","6","1489","86","6","0","102.04","7581","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","34","1765","강원","江原","Gangwon-do","6","1614","117","6","0","114.57","7580","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","456","21233","경기","京畿","Gyeonggi-do","105","18680","2097","103","2","160.24","7579","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","1","203","세종","世宗","Sejong","2","195","7","2","0","59.30","7578","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","37","950","울산","蔚山","Ulsan","0","903","10","0","0","82.82","7577","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","15","1131","대전","大田","Daejeon","1","1072","44","1","0","76.72","7576","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","19","1941","광주","光州","Gwangju","6","1733","189","6","0","133.25","7575","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","51","4087","인천","仁川","Incheon","43","3682","354","41","2","138.26","7574","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","211","8461","대구","大邱","Daegu","12","8103","147","11","1","347.26","7573","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","98","2978","부산","釜山","Busan","27","2553","327","25","2","87.28","7572","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","351","25885","서울","首尔","Seoul","158","21648","3886","155","3","265.94","7571","2021년 02월 12일 00시","NULL","","",""
"","","2021-02-12 9:34:33.33","1507","82837","합계","合计","Total","403","72936","8394","384","19","159.77","7570","2021년 02월 12일 00시","NULL","","",""
