"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-04-29 10:21:00.099","0","442","검역","隔離區","Lazaretto","3","155","287","0","3","-","1451","2020년 04월 29일 00시","null","10","1","19"
"","","2020-04-29 10:21:00.099","0","13","제주","济州","Jeju","0","8","5","0","0","1.94","1450","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.099","0","117","경남","庆南","Gyeongsangnam-do","0","97","20","0","0","3.48","1449","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.099","52","1365","경북","庆北","Gyeongsangbuk-do","0","1133","180","0","0","51.27","1448","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.099","0","15","전남","全南","Jeollanam-do","0","10","5","0","0","0.8","1447","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.099","0","18","전북","全北","Jeollabuk-do","0","10","8","0","0","0.99","1446","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.099","0","143","충남","忠南","Chungcheongnam-do","1","123","20","0","1","6.74","1445","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.099","0","45","충북","忠北","Chungcheongbuk-do","0","40","5","0","0","2.81","1444","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.099","2","53","강원","江原","Gangwon-do","0","37","14","0","0","3.44","1443","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","15","676","경기","京畿","Gyeonggi-do","2","481","180","1","1","5.1","1442","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","0","46","세종","世宗","Sejong","0","36","10","0","0","13.44","1441","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","1","43","울산","蔚山","Ulsan","0","37","5","0","0","3.75","1440","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","0","40","대전","大田","Daejeon","0","35","5","0","0","2.71","1439","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","0","30","광주","光州","Gwangju","0","26","4","0","0","2.06","1438","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","0","93","인천","仁川","Incheon","0","66","27","0","0","3.15","1437","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","171","6852","대구","大邱","Daegu","3","6075","606","3","0","281.22","1436","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","3","137","부산","釜山","Busan","0","116","18","0","0","4.02","1435","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.098","2","633","서울","首尔","Seoul","0","437","194","0","0","6.5","1434","2020년 04월 29일 00시","null","","",""
"","","2020-04-29 10:21:00.097","246","10761","합계","合计","Total","9","8922","1593","4","5","20.76","1433","2020년 04월 29일 00시","null","","",""
