"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-03-03 09:36:24.22","4","2986","검역","隔離區","Lazaretto","2","2315","667","0","2","-","8006","2021년 03월 03일 00시","null","10","1","19"
"","","2021-03-03 09:36:24.219","1","579","제주","济州","Jeju","4","545","33","4","0","86.32","8005","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.219","12","2198","경남","庆南","Gyeongsangnam-do","5","2125","61","4","1","65.39","8004","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.219","71","3279","경북","庆北","Gyeongsangbuk-do","6","3070","138","5","1","123.15","8003","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.219","8","871","전남","全南","Jeollanam-do","3","773","90","3","0","46.71","8002","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.219","55","1215","전북","全北","Jeollabuk-do","5","1048","112","5","0","66.86","8001","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.219","35","2456","충남","忠南","Chungcheongnam-do","4","2221","200","4","0","115.72","8000","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.218","58","1789","충북","忠北","Chungcheongbuk-do","19","1595","136","19","0","111.86","7999","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.218","41","1877","강원","江原","Gangwon-do","6","1729","107","6","0","121.84","7998","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.218","494","24056","경기","京畿","Gyeonggi-do","227","21337","2225","218","9","181.55","7997","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.218","1","236","세종","世宗","Sejong","4","213","22","4","0","68.94","7996","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.218","37","1016","울산","蔚山","Ulsan","1","955","24","1","0","88.58","7995","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.218","15","1193","대전","大田","Daejeon","2","1147","31","2","0","80.93","7994","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.217","21","2099","광주","光州","Gwangju","3","1956","122","3","0","144.09","7993","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.217","52","4476","인천","仁川","Incheon","20","4177","247","19","1","151.41","7992","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.217","214","8653","대구","大邱","Daegu","6","8316","123","5","1","355.14","7991","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.217","108","3264","부산","釜山","Busan","8","2927","229","8","0","95.67","7990","2021년 03월 03일 00시","null","","",""
"","","2021-03-03 09:36:24.217","385","28572","서울","首尔","Seoul","119","25251","2936","116","3","293.55","7989","2021년 03월 03일 00시","2021-03-06 10:02:24.863","","",""
"","","2021-03-03 09:36:24.216","1612","90815","합계","合计","Total","444","81700","7503","426","18","175.16","7988","2021년 03월 03일 00시","2021-03-06 10:02:11.591","","",""
