"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-06-01 09:43:52.317","4","3848","검역","隔離區","Lazaretto","4","3600","244","0","4","-","9868","2021년 06월 01일 00시","null","10","1","19"
"","","2021-06-01 09:43:52.317","1","1042","제주","济州","Jeju","12","906","135","12","0","155.35","9867","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.317","19","4707","경남","庆南","Gyeongsangnam-do","8","4489","199","8","0","140.03","9866","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.317","85","4701","경북","庆北","Gyeongsangbuk-do","9","4418","198","9","0","176.56","9865","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.316","15","1468","전남","全南","Jeollanam-do","5","1303","150","5","0","78.73","9864","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.316","58","2231","전북","全北","Jeollabuk-do","6","2085","88","6","0","122.76","9863","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.316","39","3550","충남","忠南","Chungcheongnam-do","12","3276","235","11","1","167.26","9862","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.316","68","2954","충북","忠北","Chungcheongbuk-do","11","2752","134","11","0","184.70","9861","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.316","51","3198","강원","江原","Gangwon-do","13","2954","193","13","0","207.59","9860","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.316","639","39197","경기","京畿","Gyeonggi-do","116","36604","1954","116","0","295.82","9859","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.316","1","483","세종","世宗","Sejong","3","411","71","3","0","141.09","9858","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.315","40","2580","울산","蔚山","Ulsan","2","2418","122","2","0","224.93","9857","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.315","24","2097","대전","大田","Daejeon","19","1907","166","19","0","142.25","9856","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.315","22","2810","광주","光州","Gwangju","5","2648","140","5","0","192.90","9855","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.315","61","6215","인천","仁川","Incheon","17","5938","216","16","1","210.24","9854","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.315","221","9958","대구","大邱","Daegu","42","9371","366","39","3","408.70","9853","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.315","124","5696","부산","釜山","Busan","28","5351","221","28","0","166.95","9852","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.315","491","44064","서울","首尔","Seoul","147","41032","2541","146","1","452.70","9851","2021년 06월 01일 00시","null","","",""
"","","2021-06-01 09:43:52.314","1963","140799","합계","合计","Total","459","131463","7373","449","10","271.56","9850","2021년 06월 01일 00시","null","","",""
