"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-19 10:34:03.03","0","16","검역","","Lazaretto","5","0","-","311","2020년 3월 19일 00시","","10","1","19"
"","","2020-03-19 10:34:03.03","0","4","제주","？州","Jeju","0","2","0.6","310","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","86","경남","？南","Gyeongsangnam-do","0","29","2.56","309","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","21","1190","경북","？北","Gyeongsangbuk-do","12","275","44.69","308","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","5","전남","全南","Jeollanam-do","0","3","0.27","307","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","10","전북","全北","Jeollabuk-do","1","5","0.55","306","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","118","충남","忠南","Chungcheongnam-do","0","31","5.56","305","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","33","충북","忠北","Chungcheongbuk-do","1","5","2.06","304","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","1","30","강원","江原","Gangwon-do","0","9","1.95","303","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","3","295","경기","京畿","Gyeonggi-do","18","64","2.23","302","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","41","세종","世宗","Sejong","0","0","11.98","301","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","36","울산","蔚山","Ulsan","6","9","3.14","300","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","22","대전","大田","Daejeon","0","4","1.49","299","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","17","광주","光州","Gwangju","0","7","1.17","298","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","32","인천","仁川","Incheon","0","6","1.08","297","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","65","6241","대구","大邱","Daegu","97","1382","256.15","296","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","1","107","부산","釜山","Busan","0","58","3.14","295","2020년 3월 19일 00시","","","",""
"","","2020-03-19 10:34:03.03","0","282","서울","首尔","Seoul","12","58","2.9","294","2020년 3월 19일 00시","2020-03-20 9:17:13.13","","",""
"","","2020-03-19 10:34:03.03","91","8565","합계","合","Total","152","1947","16.52","293","2020년 3월 19일 00시","2020-03-20 10:38:27.27","","",""
