"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-10 10:58:20.20","0","4","제주","","","0","1","0.60","145","2020년 3월 10일 00시","","10","1","18"
"","","2020-03-10 10:58:20.20","0","83","경남","","","0","10","2.47","144","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","14","1117","경북","","","10","60","41.95","143","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","4","전남","","","0","1","0.21","142","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","7","전북","","","0","2","0.39","141","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","104","충남","","","2","1","4.90","140","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","25","충북","","","0","3","1.56","139","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","1","28","강원","","","0","6","1.82","138","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","1","163","경기","","","11","22","1.23","137","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","8","세종","","","2","0","2.34","136","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","24","울산","","","0","1","2.09","135","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","18","대전","","","-1","1","1.22","134","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","15","광주","","","0","3","1.03","133","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","13","인천","","","4","3","0.44","132","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","38","5663","대구","","","92","92","232.42","131","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","96","부산","","","0","10","2.81","130","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","0","141","서울","","","11","31","1.45","129","2020년 3월 10일 00시","","","",""
"","","2020-03-10 10:58:20.20","54","7513","합계","","","131","247","14.49","128","2020년 3월 10일 00시","","","",""
